,City,State,2010 census,2016 land area km2,2016 land area sq mi,2016 population density km2,2016 population density sq mi,Area code,Counties,Country,County,Demonym,Density,Elevation,Estimate,Founded by,Incorporated,Land,Mayor,Metro,Rank,Summer,Time zone,Type,Water,Website,change,location,ZIP,FIPS,Finance Director,GNIS,Historic,Airports
210,Stamford,Connecticut,"122,643",97.4 ,37.6 ,"1,326","3,434",203/475,,United States,Fairfield,"Stamfordian, Stamfordite","3,180/sq mi (1,226/km2)",23 ft (7 m),"129,775,131,000",,1893,37.7 sq mi (97.9 km2),David Martin (D),"916,829",,UTC-4 (Eastern),UTC-5 (Eastern),Mayor-Board of representatives,14.3 sq mi (37.0 km2),www.stamfordct.gov,+5.82%,41°04′48″N 73°32′46″W﻿ ,6900-6900,09-73000,,0211129,,
211,Concord,California,"122,067",79.0 ,30.5 ,"1,630","4,221",925,,United States,Contra Costa,,"4,214.44/sq mi (1,627.21/km2)",75 ft (23 m),"129,688,128,726",,"February 8, 1905[1]",30.54 sq mi (79.11 km2),Carlyn Obringer[3],,1st in Contra Costa County47th in California211th in the U.S.,UTC−7 (PDT),UTC−8 (Pacific),City Council/City Manager[2],0.00 sq mi (0.00 km2)  0%,Official website,+6.24%,37°58′20″N 122°00′06″W﻿ ,94518-94521,06-16000,,"1658308, 2410214",,
212,Kent,Washington,"92,411",87.3 ,33.7 ,"1,461","3,784",253,,United States,King,,"3,806.16/sq mi (1,469.59/km2)",43-500 ft (13-152 m),"129,618,128,458",,"May 28, 1890",33.75 sq mi (87.41 km2),Dana Ralph (Elected November 2017),,US: 215th,UTC-7 (PDT),UTC-8 (PST),Mayor-council government,0.67 sq mi (1.73 km2),kentwa.gov,+40.26%,47°23′17″N 122°12′46″W﻿ ,98030-98089,53-35415,,1530952[4],,
213,Santa Clara,California,"116,468",47.7 ,18.4 ,"2,643","6,845",408/669,,United States,Santa Clara,,"6,841.65/sq mi (2,641.59/km2)",72 ft (22 m),"129,488,125,948",,"July 5, 1852[1]",18.41 sq mi (47.68 km2),,,3rd in Santa Clara County48th in California,UTC−7 (PDT),UTC−8 (Pacific),Council/Manager[2],0.00 sq mi (0.00 km2)  0%,santaclaraca.gov,+11.18%,37°21′53″N 121°58′04″W﻿ ,95050-95054,06-69084,,"1654953, 2411816",,San Jose International AirportSJC (Major/International)
214,Elizabeth,New Jersey,"124,969",31.9 ,12.3 ,"4,038","10,459",908[17],,United States,Union,,"10,144.1/sq mi (3,916.7/km2)",16 ft (5 m),"128,885,130,215",1664,"March 13, 1855",12.319 sq mi (31.907 km2),"J. Christian ""Chris"" Bollwage (D, term ends December 31, 2020)[3][4]",,212th in country (as of 2017)[13]4th of 566 in state1st of 21 in county[14],UTC−04:00 (Eastern (EDT)),UTC−05:00 (Eastern (EST)),Faulkner Act (Mayor-Council),1.145 sq mi (2.966 km2)  9.51%,www.elizabethnj.org,+3.13%,40°39′59″N 74°11′37″W﻿ ,7201-7207,3403921000[1][18][19],,0885205[1][20],,
215,Round Rock,Texas,"99,887",92.2 ,35.6 ,"1,311","3,396",512 & 737,"Williamson, Travis",United States,,Round Rockers,,735 ft (224 m),"128,739",,,35.6 sq mi (92 km2),,,,UTC−5 (CDT),UTC−6 (Central (CST)),Council-Manager,0.3 sq mi (0.8 km2),roundrocktexas.gov,+28.88%,30°31′31″N 97°39′58″W﻿ ,78664-78665,48-63500,,1366966[2],,
216,Thousand Oaks,California,"126,683",143.0 ,55.2 ,902,"2,335",805/820,,United States,Ventura,,"2,335.69/sq mi (901.82/km2)",886 ft (270 m),"127,690,128,995",,"October 7, 1964[1]",55.18 sq mi (142.92 km2),Andy Fox (R)[3][4],,2nd in Ventura County43rd in California,UTC−7 (PDT),UTC−8 (Pacific),Council/Manager[2],0.15 sq mi (0.39 km2)  0.27%,www.toaks.org,+0.79%,34°11′36″N 118°52′27″W﻿ ,91320-91362,06-78582,,"1661567, 2412065",,Los Angeles International AirportLAX (Major/International)
217,Lafayette,Louisiana,"120,623",139.3 ,53.8 ,916,"2,372",337,,United States,,Lafayettiens,"2,371.75/sq mi (915.74/km2)",36 ft (11 m),"126,143,129,626","1821 as Vermilionville,Jean Mouton",,53.81 sq mi (139.37 km2),,"490,488 (US: 108th)",US: 214th,UTC-5 (CDT),UTC-6 (CST),Consolidated City-Parish,0.10 sq mi (0.26 km2)  auto%,www.lafayettetravel.com,+4.58%,30°12′27″N 92°01′43″W﻿ ,70501-70598,22-40735,,,,
218,Athens,Georgia,"115,452",301.5 ,116.4 ,410,"1,060",706/762,,United States,Clarke,,851.5/sq mi (328.8/km2),636 ft (194 m),"125,964,125,691",,,117.8 sq mi (305.0 km2),Kelly Girtz [1],"209,271",,UTC−4 (EDT),UTC−5 (EST),,0.5 sq mi (1.2 km2),athensclarkecounty.com,+9.11%,33°56′59″N 83°22′12″W﻿ ,30601-30612,13-03440[3],,,,
219,Topeka,Kansas,"127,473",159.3 ,61.5 ,796,"2,062",785,,United States,Shawnee,Topekan,"2,100/sq mi (800/km2)",945 ft (288 m),"125,904,126,587",1854,1857,60.17 sq mi (155.84 km2),Michelle De La Isla[3],"233,791 (US: 193rd)",US: 215th,UTC-5 (CDT),UTC-6 (CST),Council-Manager,1.30 sq mi (3.37 km2),topeka.org,−1.23%,39°02′05″N 95°41′46″W﻿ ,66642-66692,20-71000 [2],,0485477 [2],,
220,Simi Valley,California,"124,237",107.5 ,41.5 ,"1,175","3,044",805,,United States,Ventura,,"3,045.79/sq mi (1,176.00/km2)",768 ft (234 m),"125,851,126,878",,"October 10, 1969[1]",41.48 sq mi (107.42 km2),,,3rd in Ventura County46th in California,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager[2],0.77 sq mi (1.98 km2)  1.81%,www.simivalley.org,+1.30%,34°16′01″N 118°44′55″W﻿ ,93062-93099,06-72016,,"1661450, 2411904",,
221,Fargo,North Dakota,"105,549",127.7 ,49.3 ,950,"2,450",701,,United States,Cass,Fargoan,"2,200/sq mi (830/km2)",904 ft (274 m),"124,844,122,359",1871,,48.82 sq mi (126.44 km2),Tim Mahoney,"241,356 (US: 192nd)",US: 221st,UTC-5 (CDT),UTC-6 (CST),,0 sq mi (0 km2),City of Fargo,+18.28%,46°51′55″N 96°49′44″W﻿ ,,38-25700,,1028945[4],,
222,Norman,Oklahoma,"110,925",463.1 ,178.8 ,264,683,405,,United States,Cleveland,,661.1/sq mi (255.3/km2),"1,171 ft (357 m)","123,471,122,843",,,178.8 sq mi (463.0 km2),Lynne Miller,"1,319,677 (U.S.: 42nd)",U.S.: 225th,UTC−5 (CDT),UTC−6 (Central (CST)),Council-manager,10.7 sq mi (27.6 km2),www.ci.norman.ok.us,+11.31%,35°14′26″N 97°20′43″W﻿ ,73019-73072,40-52500[3],,1095903[4],,
223,Columbia,Missouri,"108,500",168.3 ,65.0 ,717,"1,856",573,,United States,Boone,Columbian(s),"1,700/sq mi (660/km2)",758 ft (231 m),"123,180,121,717",1821,1826,63.08 sq mi (163.4 km2),Brian Treece[3],,US: 229thMO: 4th,UTC-5 (CDT),UTC-6 (CST),Council-Manager,.42 sq mi (1.1 km2),www.como.gov,+13.53%,38°57′06″N 92°19′43″W﻿ ,65201-65211,29-15670,,0716133[7],,
224,Abilene,Texas,"117,063",276.4 ,106.7 ,442,"1,146",325,"Taylor, Jones",United States,,Abilenian,"1,141/sq mi (440.7/km2)","1,719 ft (527 m)","122,999,121,885",,1881[1],106.8 sq mi (276.6 km2),,"170,219",,UTC−5 (CDT),UTC−6 (CST),Council-Manager,5.4 sq mi (14.0 km2),abilenetx.com,+5.07%,32°27′16″N 99°44′17″W﻿ ,,48-01000[5],,1329173[6],,
225,Wilmington,North Carolina,"106,476",133.6 ,51.6 ,880,"2,278",910,,United States,New Hanover,Wilmingtonian,"2,600/sq mi (990/km2)",30 ft (9 m),"122,607,119,045",,"February 20, 1739/40",41.0 sq mi (106.2 km2),Bill Saffo,"282,573 (US: 167th)",,UTC−4 (EDT),UTC−5 (Eastern (EST)),,0.5 sq mi (1.2 km2),http://www.wilmingtonnc.gov/,+15.15%,34°12′33″N 77°53′09″W﻿ ,,37-74440,,1023269[2],,
226,Hartford,Connecticut,"124,775",45.1 ,17.4 ,"2,735","7,083",860/959,,United States,Hartford,Hartfordite,"7,135/sq mi (2,754.7/km2)",59 ft (18 m),"122,587,123,400",,"May 29, 1784[3]",17.4 sq mi (45.0 km2),Luke Bronin (D),"1,214,295 (US: 47th)",,UTC−4 (EDT),UTC−5 (EST),Mayor-council,0.7 sq mi (1.7 km2),www.hartford.gov,−1.75%,41°45′57″N 72°40′54″W﻿ ,6100-6100,09-37000,,0213160,,"Bradley International Airport,Hartford–Brainard Airport"
227,Victorville,California,"115,903",189.8 ,73.3 ,644,"1,668",442/760[10],,United States,San Bernardino,,"1,667.37/sq mi (643.77/km2)","2,726 ft (831 m)","122,312,122,441",,"September 21, 1962[2]",73.33 sq mi (189.92 km2),Gloria Garcia[4],,5th in San Bernardino County48th in California,UTC-7 (PDT),UTC-8 (Pacific Time Zone),,0.56 sq mi (1.46 km2)  0.76%,www.victorvilleca.gov,+5.53%,34°31′40″N 117°21′13″W﻿ ,92392-92392,06-82590,,"1652806, 2412156",,San Bernardino International AirportSBD (Major/International)
228,Pearland,Texas,"91,252",119.9 ,46.3 ,947,"2,453","281, 713, 832","Brazoria, Fort Bend, Harris",United States,,,"2,315/sq mi (893.7/km2)",49 ft (15 m),"122,149,119,940",,,48.329 sq mi (125.3 km2),,,,UTC−5 (CDT),UTC−6 (Central (CST)),Council-Manager,.175 sq mi (.45 km2),www.cityofpearland.com,+33.86%,29°33′21″N 95°19′23″W﻿ ,77581-77588,48-56348[1],,1343734[2],,
229,Vallejo,California,"115,942",79.5 ,30.7 ,"1,525","3,951",707,,United States,Solano,,"3,954.84/sq mi (1,526.95/km2)",69 ft (21 m),"121,913,121,299",1851,"March 30, 1868[1]",30.67 sq mi (79.44 km2),Bob Sampayan[2],,1st in Solano County50th in California,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager,18.87 sq mi (48.87 km2)  38.0%,www.ci.vallejo.ca.us,+5.15%,38°06′28″N 122°15′50″W﻿ ,94589-94592,06-81666,,"1661612, 2412142",,
230,Ann Arbor,Michigan,"113,934",72.8 ,28.1 ,"1,659","4,298",734,,United States,Washtenaw,Ann Arborite,"4,353.55/sq mi (1,680.92/km2)",840 ft (256 m),"121,890,121,477",,,27.90 sq mi (72.27 km2),Christopher Taylor (D),"344,791",,UTC-4 (EDT),UTC-5 (EST),Council-Manager,0.87 sq mi (2.25 km2),Official website,+6.98%,42°16′34″N 83°43′51″W﻿ ,48103-48113,26-03000[4],,0620133[4],,
231,Berkeley,California,"112,580",27.2 ,10.5 ,"4,458","11,547",510,,United States,Alameda,Berkeleyan,"11,683.28/sq mi (4,512.14/km2)",171 ft (52 m),"121,643,122,324",,"April 4, 1878[1]",10.47 sq mi (27.11 km2),Jesse Arreguín[3],,4th in Alameda County51st in California,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager[2],7.23 sq mi (18.72 km2)  40.83%,www.cityofberkeley.info,+8.05%,37°52′01″N 122°17′57″W﻿ ,94701-94720,06-06000,,"1658037, 2409837",,
232,Allentown,Pennsylvania,"118,032",45.3 ,17.5 ,"2,657","6,882","610, 484",,United States,Lehigh,Allentonian,"6,911.50/sq mi (2,668.50/km2)","338 ft (103 m),440 ft (130 m),255 ft (78 m)","121,433,121,283","1762,William Allen","March 12, 1867",17.55 sq mi (45.45 km2),Ray O'Connell (D),"827,048 (US: 68th)",,UTC−4 (EDT),UTC−5 (EST),Mayor-Council,0.48 sq mi (1.24 km2),www.allentownpa.gov,+2.88%,40°35′37″N 75°28′42″W﻿ ,18101-18195,42-02000,,1202899[9],,"Lehigh Valley International Airport- ABE (Major/International),Allentown Queen City Municipal Airport- XLL (Minor)"
233,Richardson,Texas,"99,223",74.1 ,28.6 ,"1,530","3,963","214, 469, 972",Dallas Collin,United States,,,"3,803/sq mi (1,468.2/km2)",630 ft (192 m),"120,981,108,617",,,28.6 sq mi (74.0 km2),,,US: 275th,UTC−5 (CDT),UTC−6 (CST),Council-Manager,0.08 sq mi (0.2 km2),www.cor.net,+21.93%,32°58′20″N 96°42′29″W﻿ ,75085-75085,48-61796,,1345172[2],,
234,Odessa,Texas,"99,940",117.1 ,45.2 ,"1,007","2,608",432,"Ector, Midland",United States,,,"2,277/sq mi (879.0/km2)","2,900 ft (884 m)","120,568",,,43.9 sq mi (113.7 km2),,,,UTC−5 (CDT),UTC−6 (CST),Council-Manager,0.1 sq mi (0.2 km2),www.odessa-tx.gov,+20.64%,31°53′02″N 102°20′28″W﻿ ,,48-53388[1],,1343067[2],,
235,Arvada,Colorado,"106,433",100.0 ,38.6 ,"1,175","3,043",Both 303 and 720,Jefferson CountyAdams County,United States,,Arvadan,"3,037.55/sq mi (1,172.80/km2)","5,344 ft (1,662 m)","120,492,117,453",,"August 24, 1904[3][4]",38.67 sq mi (100.15 km2),Marc Williams[5] (2011- ),,US: 242nd,UTC−6 (MDT),UTC−7 (MST),Home Rule Municipality[2],0.72 sq mi (1.87 km2),arvada.org,+13.21%,39°50′01″N 105°09′01″W﻿ ,,08-03455,,0204709,,
236,Cambridge,Massachusetts,"105,162",16.6 ,6.4 ,"6,675","17,289",617 / 857,,United States,Middlesex,Cantabrigian,"15,000/sq mi (5,700/km2)",40 ft (12 m),"118,977,110,651",,1636,6.43 sq mi (16.65 km2),Marc C. McGovern,,,UTC−4 (Eastern),UTC−5 (Eastern),Council-City Manager,0.70 sq mi (1.81 km2),cambridgema.gov,+13.14%,42°22′34″N 71°07′07″W﻿ ,2138-2142,25-11000,,0617365,,
237,Sugar Land,Texas,"91,252",88.1 ,34.0 ,"1,347","3,488","Mostly 281 also 713, 832, and 346",,United States,Fort Bend,,"2,723/sq mi (1,051.2/km2)",100 ft (30 m),"118,600,118,118[1]",,,32.4 sq mi (83.9 km2),,,,UTC−5 (CDT),UTC−6 (Central (CST)),Council-Manager,1.6 sq mi (4.2 km2),www.sugarlandtx.gov,+29.97%,29°35′58″N 95°36′51″W﻿ ,77487-77498,48-70808,,1348034[3],,
238,Beaumont,Texas,"118,296",212.6 ,82.1 ,556,"1,441",409,,United States,Jefferson,Beaumonter,"1,438/sq mi (555.4/km2)",16 ft (5 m),"118,428,119,114",,,82.8 sq mi (214.5 km2),,"404,872 (130th U.S.)",,UTC−5 (CDT),UTC−6 (CST),Council-Manager,3.1 sq mi (7.9 km2),beaumonttexas.gov,+0.11%,30°05′06″N 94°08′43″W﻿ ,77701-77726,48-07000[3],,1330268[4],,
239,Lansing,Michigan,"114,297",101.3 ,39.1 ,"1,146","2,967",517,"Ingham, Clinton, Eaton",United States,,Lansingite,"2,986.55/sq mi (1,153.12/km2)",860 ft (262 m),"118,427,116,986",,,39.17 sq mi (101.45 km2),Andy Schor (D),"464,036",,UTC-4 (EDT),UTC-5 (EST),Strong Mayor-Council,0.64 sq mi (1.66 km2),www.lansingmi.gov,+3.61%,42°42′51″N 84°33′33″W﻿ ,,26-46000[5],,1625035[6],,
240,Evansville,Indiana,"117,429",122.5 ,47.3 ,975,"2,526",812 & 930,,United States,Vanderburgh,,"2,523.43/sq mi (974.30/km2)",387 ft (118 m),"117,963,119,477",1812,1817,47.35 sq mi (122.63 km2),Lloyd Winnecke (R),"358,676 (US: 142nd)",1st in Vanderburgh County1st in Southern Indiana3rd in Indiana223rd in the United States,UTC-5 (CDT),UTC-6 (CST),,0.49 sq mi (1.27 km2),City of Evansville,+0.45%,37°59′16″N 87°32′05″W﻿ ,47702-47777,18-22000,,434258,,Evansville Regional Airport
241,Rochester,Minnesota,"106,769",141.4 ,54.6 ,806,"2,088",507,,United States,Olmsted,,"2,096.80/sq mi (809.59/km2)","1,030 ft (401.4 m)","116,961,116,941",1854,,55.20 sq mi (142.95 km2),Kim Norton[2] (I),"218,280[4] (US: 204th)",US: 244th MN: 3rd,UTC−5 (CDT),UTC−6 (CST),,0.29 sq mi (0.75 km2)  0.29%,www.rochestermn.gov,+9.55%,44°00′55″N 92°28′38″W﻿ ,55901-55906,27-54880,,0650180[8],,
242,Independence,Missouri,"116,830",201.5 ,77.8 ,581,"1,504",816,Jackson,United States,,,"1,500/sq mi (580/km2)","1,033 ft (315 m)","116,925,117,306","March 29, 1827",,77.57 sq mi (200.91 km2),Eileen Weir,,,UTC−5 (CDT),UTC−6 (Central (CST)),,0.68 sq mi (1.76 km2),City of Independence,+0.08%,39°05′08″N 94°21′08″W﻿ ,,29-35000[4],,0735664[5],,
243,Fairfield,California,"105,321",105.9 ,40.9 ,"1,083","2,806",707,,United States,Solano,,"2,804.67/sq mi (1,082.89/km2)",13 ft (4 m),"116,884,114,756",,"December 12, 1903[1]",40.92 sq mi (105.97 km2),Harry T. Price[3],,2nd in Solano County57th in California,UTC−7 (PDT),UTC−8 (Pacific),Council-manager[2],0.27 sq mi (0.70 km2)  6.95%,www.fairfield.ca.gov,+10.98%,38°15′33″N 122°01′56″W﻿ ,94533-94535,06-23182,,"1656005, 2410474",,
244,Provo,Utah,"112,488",108.0 ,41.7 ,"1,082","2,803","385, 801",,United States,Utah,,"2,700/sq mi (1,000/km2)","4,551 ft (1,387 m)","116,702",1849,April 1850,41.7 sq mi (107.9 km2),Michelle Kaufusi,"526,810",,UTC−6 (MDT),UTC−7 (Mountain (MST)),Strong mayor,2.5 sq mi (6.5 km2),www.provo.org,+3.75%,40°14′43″N 111°38′41″W﻿ ,,49-62470[4],,1444661[5],,
245,Clearwater,Florida,"107,685",67.1 ,25.9 ,"1,705","4,415",727,,United States,Pinellas,,"4,444.86/sq mi (1,716.14/km2)",30 ft (9 m),"116,478,115,513",,"1891,May 27, 1915",25.99 sq mi (67.31 km2),George N. Cretekos,"2,783,243",,UTC-4 (EDT),UTC-5 (Eastern (EST)),,9.83 sq mi (25.46 km2),www.myclearwater.com,+8.17%,27°58′44″N 82°46′00″W﻿ ,33755-33769,12-12875[3],,0280543[4],,
246,College Station,Texas,"93,857",132.1 ,51.0 ,849,"2,199",979,,United States,Brazos,,"1,978/sq mi (763.7/km2)",338 ft (103 m),"116,218",,,49.5 sq mi (128.1 km2),Karl Mooney,"273,101 (US: 175th)",,UTC-5 (CDT),UTC-6 (CST),Council-Manager,0.2 sq mi (0.5 km2),www.cstx.gov,+23.82%,30°35′07″N 96°17′47″W﻿ ,,48-15976,,1354786[1],,
247,West Jordan,Utah,"103,712",83.7 ,32.3 ,"1,360","3,520","385, 801",,United States,Salt Lake,,"3,356.37/sq mi (1,296.4/km2)","4,373 ft (1,333 m)","116,046",,1947,30.9 sq mi (80.0 km2),,,,UTC−6 (MDT),UTC−7 (Mountain (MST)),,0.0 sq mi (0.0 km2),www.westjordan.utah.gov,+11.89%,40°36′09″N 112°00′03″W﻿ ,84081-84088,49-82950[1],,1434086[2],,
248,Carlsbad,California,"105,328",97.6 ,37.7 ,"1,167","3,023",442/760,,United States of America,San Diego,,"3,055.91/sq mi (1,179.97/km2)",52 ft (16 m),"115,877,115,330",,"July 16, 1952[1]",37.74 sq mi (97.74 km2),Carl Armstrong-Champ,,5th in San Diego County54th in California,UTC−7 (PDT),UTC−8 (Pacific),Council–manager[2],1.38 sq mi (3.57 km2)  3.55%,www.carlsbadca.gov,+10.02%,33°07′26″N 117°16′58″W﻿ ,92008-92018,06-11194,,"1660437, 2409984",,
249,El Monte,California,"113,475",24.9 ,9.6 ,"4,658","12,063",626,,United States,Los Angeles,,"12,111.17/sq mi (4,675.97/km2)",299 ft (91 m),"115,586,115,807",,"November 18, 1912[1]",9.56 sq mi (24.77 km2),Andre Quintero[2],,10th in Los Angeles County52nd in California,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager,0.09 sq mi (0.22 km2)  0.89%,ci.el-monte.ca.us,+1.86%,34°04′29″N 118°01′45″W﻿ ,91731-91735,06-22230,,"1652702, 2410413",,
250,Murrieta,California,"103,466",87.0 ,33.6 ,"1,283","3,324",951,,United States,Riverside,,"3,372.80/sq mi (1,302.30/km2)","1,175 ft (334 m)","114,985,113,326",,"July 1, 1991[2]",33.60 sq mi (87.02 km2),,,4th in Riverside County63rd in California,UTC−7 (PDT),UTC−8 (Pacific),Council–manager[3],0.04 sq mi (0.09 km2)  0.11%,www.murrieta.org,+11.13%,33°34′20″N 117°11′25″W﻿ ,92562-92564,06-50076,,"1667919, 2411199",,Ontario International Airport (ONT)San Diego International Airport (SAN)
251,Temecula,California,"100,097",96.6 ,37.3 ,"1,170","3,031",951,,United States,Riverside,,"3,036.79/sq mi (1,172.62/km2)","1,017 ft (310 m)","114,742,113,181","April 22, 1859","December 1, 1989[1]",37.27 sq mi (96.52 km2),,,5th in Riverside County57th in California,UTC−7 (PDT),UTC−8 (Pacific),,0.01 sq mi (0.03 km2)  0.05%,temeculaca.gov,+14.63%,33°29′35″N 117°07′54″W﻿ ,92589-92593,06-78120,,"1652799, 2412044",,
252,Springfield,Illinois,"116,250",155.7 ,60.1 ,743,"1,925",217,,United States,Sangamon,,"1,925.63/sq mi (743.49/km2)",558 ft (170 m),"114,694,114,868","April 10, 1821[2]","April 2, 1832[2]",60.09 sq mi (155.64 km2),Jim Langfelder (D),"211,752",,UTC−5 (CDT),UTC−6 (CST),,6.28 sq mi (16.27 km2),www.springfield.il.us,−1.34%,39°47′28″N 89°38′41″W﻿ ,62708-62796,17-167-11046,,,,
253,Palm Bay,Florida,"103,190",170.2 ,65.7 ,647,"1,676",321,,United States,Brevard,,"1,675.30/sq mi (646.84/km2)",19 ft (5 m),"114,194,110,104",,,65.72 sq mi (170.22 km2),William Capote,"543,376",,UTC−4 (EDT),UTC−5 (Eastern (EST)),Council-Manager,3.14 sq mi (8.12 km2)  4.56%,www.PalmBayFlorida.org,+10.66%,27°59′08″N 80°39′45″W﻿ ,,12-54000[5],,0288389[6],,
254,Costa Mesa,California,"109,960",40.7 ,15.7 ,"2,775","7,186",714/657/949,,United States of America,Orange,Costa Mesan,"7,175.60/sq mi (2,770.43/km2)",98 ft (30 m),"113,615,112,822",,"June 29, 1953[1]",15.72 sq mi (40.72 km2),,,8th in Orange County54th in California,UTC-7 (PDT),UTC-8 (PST),Council-CEO,0.08 sq mi (0.21 km2)  0.29%,www.costamesaca.gov,+3.32%,33°39′57″N 117°54′44″W﻿ ,92626-92628,06-16532,,"1652692, 2410239",,John Wayne International AirportSNA (Major/International)
255,Westminster,Colorado,"106,114",82.1 ,31.7 ,"1,387","3,592",Both 303 and 720,Adams CountyJefferson County,United States,,,"3,588.99/sq mi (1,385.74/km2)","5,384 ft (1,641 m)","113,479,113,875",,"May 24, 1911[2] as the Town of Westminster",31.73 sq mi (82.18 km2),Herb Atchison,,,UTC−6 (MDT),UTC−7 (MST),Home Rule Municipality[1],2.32 sq mi (6.01 km2),www.cityofwestminster.us,+6.94%,39°52′56″N 105°03′52″W﻿ ,80003-80260,08-83835,,0204703,,
256,North Charleston,South Carolina,"97,471",190.9 ,73.7 ,573,"1,483",843 and 854,"Berkeley, Charleston, Dorchester[1]",United States,,,"1,393/sq mi (538.0/km2)",25 ft (6 m),"113,237,108,304",,,73.2 sq mi (189.6 km2),R. Keith Summey,"744,526 (US: 75th)",US: 271st,UTC−4 (EDT),UTC−5 (EST),Mayor-council government,3.5 sq mi (9.0 km2),www.northcharleston.org,+16.18%,32°55′04″N 80°03′54″W﻿ ,,45-50875,,1225072,,
257,Miami Gardens,Florida,"107,167",47.1 ,18.2 ,"2,398","6,212","305, 786",,United States of America,Miami-Dade,,"6,199.03/sq mi (2,393.45/km2)",7 ft (2 m),"113,069,113,750",,"May 13, 2003",18.24 sq mi (47.24 km2),Oliver G. Gilbert III,"5,564,635",,UTC-4 (EDT),UTC-5 (EST),Council-Manager,0.78 sq mi (2.02 km2),miamigardens-fl.gov,+5.51%,25°56′56″N 80°14′37″W﻿ ,33014-33169,12-45050[3],,1989951[4],,
258,Manchester,New Hampshire,"109,565",85.7 ,33.1 ,"1,289","3,339",603,,United States,Hillsborough,,"3,338/sq mi (1,289.0/km2)",210 ft (64 m),"112,525,111,196",,1846,33.1 sq mi (85.7 km2),Joyce Craig (D),"406,678 (US: 132nd)",US: 264th,UTC-4 (Eastern),UTC-5 (Eastern),,1.9 sq mi (4.8 km2)  5.33%,www.manchesternh.gov,+2.70%,42°59′06″N 71°26′39″W﻿ ,,33-45140,,0868243,,
259,High Point,North Carolina,"104,371",143.0 ,55.2 ,778,"2,015",336,"Guilford, Davidson, Randolph, Forsyth",United States,,,"1,900/sq mi (730/km2)",938 ft (286 m),"112,316,111,223",,,53.8 sq mi (139.3 km2),Jay W. Wagner,"746,593 (US: 74th)",,UTC−4 (EDT),UTC−5 (EST),,1.7 sq mi (4.3 km2),www.highpointnc.gov,+7.61%,35°59′24″N 79°59′26″W﻿ ,,37-31400,,0986755[3],,
260,Downey,California,"111,772",32.1 ,12.4 ,"3,527","9,134",562,,United States of America,Los Angeles,,"9,128.55/sq mi (3,524.53/km2)",118 ft (36 m),"112,269,113,267","October 23, 1873","December 17, 1956[1]",12.41 sq mi (32.14 km2),,,11th in Los Angeles County53rd in California,UTC-7 (PDT),UTC-8 (PST),Council-manager,0.16 sq mi (0.41 km2)  1.27%,www.downeyca.org,+0.44%,33°56′18″N 118°07′51″W﻿ ,90239-90242,06-19766,,"1652698, 2410352",,"Los Angeles International AirportLAX (major/international),Hollywood Burbank Airport-BUR (regional) Van Nuys Airport-VNY (regional) Long Beach Airport-LGB (regional)"
261,Clovis,California,"95,631",62.7 ,24.2 ,"1,700","4,404",559,,United States,Fresno,,"4,368.33/sq mi (1,686.62/km2)",361 ft (110 m),"112,022,109,691",,"February 27, 1912[2]",24.40 sq mi (63.19 km2),Bob Whalen [3],,,UTC−7 (PDT),UTC−8 (Pacific),Council–manager[3],0.00 sq mi (0.00 km2)  0%,www.ci.clovis.ca.us,+17.14%,36°49′42″N 119°41′06″W﻿ ,93611-93611,06-14218,,"1656303, 2409488",,
262,Pompano Beach,Florida,"99,845",62.2 ,24.0 ,"1,760","4,558","754, 954",,United States,Broward,,"4,550.65/sq mi (1,757.01/km2)",13 ft (4 m),"111,954,110,473",,"June 6, 1947[3][4][5]",24.04 sq mi (62.26 km2),Rex Hardin,"5,564,635",,UTC−4 (EDT),UTC−5 (EST),Commission-Manager,0.67 sq mi (1.74 km2)  5.54%,www.pompanobeachfl.gov,+12.13%,26°14′30″N 80°08′02″W﻿ ,33093-33097,12-58050[8],,0289162[9],,
263,Pueblo,Colorado,"106,595",138.8 ,53.6 ,795,"2,058",719,,United States,Pueblo – county seat[1],,"2,057.98/sq mi (794.59/km2)","4,692 ft (1,430 m)","111,750,110,291",,"November 15, 1885[4]",53.59 sq mi (138.80 km2),Nick Gradisar[5],,,UTC−6 (MDT),UTC−7 (MST),Home Rule Municipality[3],0.79 sq mi (2.03 km2),pueblo.us,+4.84%,38°16′12″N 104°36′44″W﻿ ,,08-62000,,0204798,,
264,Elgin,Illinois,"108,188",96.9 ,37.4 ,"1,158","2,998","331, 847 and 224","Kane, Cook",United States,,Elginite,"3,002.83/sq mi (1,159.40/km2)",817 ft (249 m),"111,683,112,456",1835,1854,37.45 sq mi (96.98 km2),Dave Kaptain,,,UTC−5 (Central),UTC−6 (Central),"Home Rule, Council-manager",0.49 sq mi (1.27 km2)  1.43%,cityofelgin.org,+3.23%,42°02′23″N 88°19′18″W﻿ ,60120-60125,17-23074,,,,
